; Created by WC-DAP 3.0.392

Index,DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,Time Offset,Count,InitLocQ,InitTime,InitLat,InitLon,Deepest,SSTTime,SSTDepth,SSTTemp,Type,Delta,MinDepth,MaxDepth,AttenShallow,AttenDeep,TravelMetric,FoundPrevious,K,LL0,Depth0,LL1,Depth1,LL2,Depth2,LL3,Depth3,LL4,Depth4,LL5,Depth5,LL6,Depth6,LL7,Depth7,LL8,Depth8,LL9,Depth9,LL10,Depth10,LL11,Depth11
19,"Thomas",141254,,Transmission,MiniPAT,31-Oct-2015,20:06:15,,8,,,,,,04:00:00 31-Oct-2015,0,20.1,Dusk,1050,16,240,,,0,,13353,174,,169,,168,,163,,156,,156,,122,,96,,66,,,,,,
20,"Thomas",141254,,Transmission,MiniPAT,01-Nov-2015,10:32:30,,9,,,,,204,11:00:00 01-Nov-2015,0,19.9,Dawn,450,16,144,,,0,,40669,76,,90,,108,,120,,129,,143,,151,,166,,170,,,,,,
21,"Thomas",141254,,Transmission,MiniPAT,01-Nov-2015,21:21:15,,9,,,,,,11:00:00 01-Nov-2015,0,19.9,Dusk,450,48,112,,,0,,61674,147,,142,,136,,126,,109,,90,,86,,74,,64,,,,,,
22,"Thomas",141254,,Transmission,MiniPAT,02-Nov-2015,10:21:15,,7,,,,,288,08:00:00 02-Nov-2015,1,20.3,Dawn,300,48,144,,,0,,50643,76,,87,,101,,114,,121,,129,,144,,157,,167,,,,,,
23,"Thomas",141254,,Transmission,MiniPAT,02-Nov-2015,21:36:15,,7,,,,,,08:00:00 02-Nov-2015,1,20.3,Dusk,300,16,144,,,0,,26454,164,,154,,139,,120,,109,,99,,88,,78,,68,,,,,,
24,"Thomas",141254,,Transmission,MiniPAT,03-Nov-2015,10:26:15,,8,,,,,232,08:00:00 03-Nov-2015,1,19.8,Dawn,450,80,176,,,0,,42972,83,,101,,116,,130,,152,,166,,183,,194,,199,,,,,,
25,"Thomas",141254,,Transmission,MiniPAT,03-Nov-2015,21:33:45,,8,,,,,,08:00:00 03-Nov-2015,1,19.8,Dusk,450,48,176,,,0,,41271,182,,153,,133,,119,,104,,88,,78,,74,,63,,,,,,
26,"Thomas",141254,,Transmission,MiniPAT,04-Nov-2015,10:17:30,,8,,,,,336,09:00:00 04-Nov-2015,0,20.3,Dawn,600,16,208,,,0,,37021,69,,82,,101,,129,,146,,158,,185,,204,,210,,,,,,
27,"Thomas",141254,,Transmission,MiniPAT,04-Nov-2015,21:15:00,,8,,,,,,09:00:00 04-Nov-2015,0,20.3,Dusk,600,16,80,,,0,,17670,172,,162,,155,,142,,124,,103,,85,,69,,53,,,,,,
28,"Thomas",141254,,Transmission,MiniPAT,05-Nov-2015,10:11:15,,9,,,,,176,06:00:00 05-Nov-2015,1,20.3,Dawn,450,16,112,,,0,,16722,58,,69,,78,,89,,102,,124,,144,,157,,167,,,,,,
