DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
"Thomas",141254,,MiniPAT,11:00:00 07-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,12:00:00 07-Feb-2016,,,,0.0,19.8,Status
"Thomas",141254,,MiniPAT,21:00:00 07-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,22:00:00 07-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,23:00:00 07-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,03:00:00 08-Feb-2016,,,,0.0,19.9,LightLoc
"Thomas",141254,,MiniPAT,09:00:00 08-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,10:00:00 08-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,22:00:00 08-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,07:00:00 09-Feb-2016,,,,0.0,19.8,Status
"Thomas",141254,,MiniPAT,14:00:00 09-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,19:00:00 09-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,00:00:00 10-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,02:00:00 10-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,22:00:00 10-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,00:00:00 11-Feb-2016,,,,0.0,20.1,Status
"Thomas",141254,,MiniPAT,09:00:00 11-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,11:00:00 11-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,16:00:00 11-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,08:00:00 12-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,01:00:00 13-Feb-2016,,,,0.0,20.3,Status
"Thomas",141254,,MiniPAT,06:00:00 13-Feb-2016,,,,0.0,20.2,Status
"Thomas",141254,,MiniPAT,11:00:00 13-Feb-2016,,,,0.0,20.2,Status
"Thomas",141254,,MiniPAT,23:00:00 13-Feb-2016,,,,0.0,20.0,Status
